station,station_name,latitude,longitude
941403,СОХОНДО,,
941300,МОГЗОН,51.73650742,111.9626236
941225,ТАЙДУТ,51.63550568,111.4250794
941206,ХАРАГУН,51.55176163,111.179718
941102,ХУШЕНГА,51.4383812,110.9285889
941009,ГЫРШЕЛУН,51.4003067,110.6635056
940909,ХИЛОК,51.36233902,110.4531784
940805,ЖИПХЕГЕН,51.45103073,110.173851
940701,БАДА,51.38755798,109.86306
940608,ХОХОТУЙ,51.28517532,109.5733337
940504,НОВОПАВЛОВКА,51.2120018,109.2284012
948474,КУЭНГА,52.06878662,117.0511169
948101,ПРИИСКОВАЯ,51.91714478,116.6179276
315808,МАЛАХОВСКАЯ,57.2820282,40.91799545
315719,АРМЕНКИ,,
315511,ЕЖОВО,57.40644455,40.69137573
315507,НЕРЕХТА,57.46190643,40.54868698
315418,САХАРЕЖ,57.44488144,40.42457962
315403,БУРМАКИНО,57.4368248,40.31929779
315314,ТОЩИХА,57.47421265,40.21001816
315301,ЛЮТОВО,57.49248123,40.1197319
315206,ТЕЛИЩЕВО,57.52782059,39.96076965
314909,НОВОЯРОСЛАВСКАЯ,57.57566833,39.79290771
314810,ПОЛЯНКИ,57.59181976,39.83389664
314701,КОЗЬМОДЕМЬЯНСК,57.48765182,39.68851852
314425,КОРОМЫСЛОВО,57.39223862,39.59996414
314307,РОСТОВ-ЯРОСЛАВСКИЙ,57.19817734,39.40748596
314006,СИЛЬНИЦЫ,56.93073273,39.29114914
313427,БЕРЕНДЕЕВО,,
313304,БАЛАКИРЕВО,56.50774002,38.85013962
313107,МОЛОТ,57.6739502,39.75961304
312706,ТЕНИНО,57.70895004,39.68723297
312621,ЧЕБАКОВО,57.75500107,39.53686142
319315,БОЛЬШАКОВО,56.48853683,41.19761658
319300,САВИНО,56.58949661,41.21203613
319211,ШОРЫГИНО,56.6588707,41.26306534
319014,ЛАДЫГИНО,56.72646332,41.30685806
319003,ШУЯ,56.85066986,41.35166168
318914,ВОРОЖИНО,56.89474487,41.23731613
318908,КОХМА,56.95144653,41.13975143
318806,ГОРИНО,56.98323822,41.06391525
318609,ИВАНОВО-СОРТИРОВОЧНОЕ,57.00756073,41.03807449
318401,ТЕКСТИЛЬНЫЙ,56.99830627,40.89066315
318204,ОБОЛСУНОВО,56.88593292,40.63222504
318100,ТЕЙКОВО,56.8576889,40.56489563
318007,САХТЫШ,56.80273056,40.55286026
317911,ЯКШИНСКИЙ,,
